,short_file_name,LI_3WD_Items
27,29,"[['Look in Your Blind Spots: When we drive, we know that our mirrors don\'t reveal the entire situation so we glance over our shoulder just in case to see what we may have missed. The same is true when it comes to our thinking. Instead of ""unfriending"" that person in your social media network who is always rambling about politics or religion take a moment to actually read their posts. Ask yourself why they believe what they believe. Consider what it must be like to be in their shoes. Look for a deeper rational. This will enhance your understanding.', ""Feed Your Head: Read, watch and listen to sources that you seldom encounter or fully engage. If you are straight read The Advocate, if you are progressive, read The National Review. Keep an open mind. Most importantly, look for information or a point of view where you can see a glimmer of truth even though you don't necessarily adhere to it personally. Psychologists call this counter-attitudinal advocacy: making a strong argument for the opposition. This will increase your range."", 'Check Your Facts: To gain perspective, you must move outside your normal sphere of influence. Talk with others who take a higher point of view. Consult experts who are more likely to be objective about the situation. Step away from your opinions for a moment and consider the salient facts these experts may possess. Listen for disconfirming feedback: where your ideas are proven to be wrong and your course of action erroneous. This will improve your accuracy.'], ['\n\nShare\n\n', '\n\nTweet\n\n', '\n\nEmail\n\n\n'], ['Members', 'Login', 'Sign Up'], ['Passive Aggression\n', 'Personality\n', 'Shyness\n'], ['Low Sexual Desire\n', 'Relationships\n', 'Sex\n']]"
28,30,"[['Upcoming Events', 'Inc. 5000 Vision Conference', 'Become a Sponsor'], ['The 2021 US List', 'Inc. 5000 Regionals', 'Apply Inc. 5000 US'], ['Upcoming Events', 'Inc. 5000 Vision Conference', 'Become a Sponsor'], ['The 2021 US List', 'Inc. 5000 Regionals', 'Apply Inc. 5000 US']]"
29,31,[]
30,32,"[['Narcissism: narcissism comes from the Greek myth of Narcissus, a hunter who fell in love with his own reflection in a pool of water, and drowned. Narcissistic people can be selfish, boastful, arrogant, lacking in empathy, and hypersensitive to criticism.', 'Machiavellianism: the word comes from the renowned 16th-century Italian politician and diplomat Niccolo Machiavelli. He earned notoriety when his 1513 book, ""The Prince,"" was interpreted as an endorsement of the dark arts of cunning and deceit in diplomacy. Traits associated with Machiavellianism include duplicity, manipulation, self-interest, and a lack of both emotion and morality.', ""Psychopathy: personality traits associated with psychopathy include a lack of empathy or remorse, antisocial behavior, and being manipulative and volatile. It's important to note that there is a distinction between psychopathic traits and being a psychopath, with its commonly held association with criminal violence.""], ['Newest Releases', ""The Duper's Delight Video"", 'Finding Your Unique Strengths']]"
31,33,"[['Social Communication', 'Social Interaction', 'Social Imagination or Rigidity of Thought patterns']]"
32,34,"[['Members', 'Login', 'Sign Up'], ['Passive Aggression\n', 'Personality\n', 'Shyness\n'], ['Low Sexual Desire\n', 'Relationships\n', 'Sex\n']]"
33,35,[]
34,36,"[['Ideal self: your vision and ambitions of who you want to be', 'Real self (self-image): how you currently see and perceive yourself', 'Self-esteem: how much worth and value you believe you have'], ['Mental Health News', 'COVID-19', 'Live Town Hall: Mental Health in Focus'], ['Inside Mental Health', 'Inside Schizophrenia', 'Inside Bipolar'], ['What is self-concept?', 'Self-concept theories', 'Next steps']]"
35,37,[]
36,38,[]
37,39,"[['Affect (feelings)', 'Behavior (interactions)', 'Cognition (thought)']]"
38,40,[]
39,41,"[['Autonomy: \xa0A sense of choice and endorsement in a task', 'Competence: The\xa0experience of mastery over a task or particular domain', 'Relatedness: Social connections and a high concern for others'], ['Autonomy:\xa0\xa0Do not micro-manage or enforce bureaucratic rules', 'Competence: Provide positive feedback to employees\xa0', 'Relatedness:\xa0Form teams and create a sense of belonging\xa0'], ['“I feel like I can make a lot of inputs to deciding how my job gets done” (autonomy), ', '“I enjoy the challenge my work provides” (competence), and ', '“I really like the people I work with (relatedness). ']]"
40,42,[]
41,43,"[['Gain an appreciation of the importance of emotion in human life.', 'Understand the functions and meanings of emotion in three areas of life: the intrapersonal, interpersonal, and social–cultural.', 'Give examples of the role and function of emotion in each of the three areas described.']]"
42,44,[]
43,45,[]
44,46,[]
45,47,[]
46,48,"[[""Hue, the dimension of visual experience specified by color names, is related to the wavelength of light—that is, to the distance between the crests of a light wave. Shorter waves tend to be seen as violet and blue, longer ones as orange and red. The sun produces white light, which is a mixture of all the visible wavelengths. Sometimes, drops of moisture in the air act like a prism: They separate the sun's white light into the colors of the visible spectrum, and we are treated to a rainbow."", 'Brightness is the dimension of visual experience related to the amount, or intensity, of the light an object emits or reflects, and corresponds to the amplitude (maximum height) of the light wave. Generally, the more light an object reflects, the brighter it appears. However, brightness is also affected by wavelength: Yellows appear brighter than reds and blues even when their physical intensities are equal.', 'Saturation (colorfulness) is the dimension of visual experience related to the complexity of light—that is, to how wide or narrow the range of wavelengths is. When light contains only a single wavelength, it is said to be pure, and the resulting color is completely saturated. White light, in contrast, contains all the wavelengths of visible light (corresponding to all the colors in the visible spectrum) and has zero saturation. Black is a lack of any light at all (has no color), and so is also completely unsaturated. In nature, pure light is extremely rare. We usually sense a mixture of wavelengths, and as a result we see colors that are duller and paler than completely saturated ones.']]"
47,49,[]
48,50,[]
49,51,"[['Selective attention:', 'Sustained attention', 'Divided attention'], ['Concentration: is focusing on specific things or objects while excluding others for a moment.', 'Alertness: refers to the ‘readiness of an individual’ to deal with the stimuli that appear before him/her. \xa0', 'Search: in search we look for a specific thing, object or person among a group of things, objects or people. For example when you go to buy apple in a market, you look for one specific thing in a whole array of things.'], ['It occurs without intention', 'It takes place unconsciously', 'It involves little or no thought processes']]"
